grade,review
positive,"Сразу скажу, я не любитель этого жанра. Но с Добронравым этот древний водевиль оживает! С первых разросшихся из под одеяла невнятных, но узнаваемых, звуков его голоса зал взрывается аплодисментами! Актеры играют превосходно! Один минус! Посредственная акустика зала не дополненная електронными компонентами. Для амфитеатра не хватает, увы. А за блистательное исполнение, искренне признателен! "
positive,"Отличный спектакль! Игра актёров на высшем уровне, хорошие шутки. Были с мамой и мужем, всем понравился."
positive,"Мюзикл-класс! Музыка,актеры,дирижер Кудрявцева Жанна-всё супер!!!"
positive," Потрясающий спектакль Этот спектакль оставил очень яркие впечатления. Трагичный, само повествование выворачивает душу, но конечно жизнеутверждающий одновременно. Дуэт Александрова - Петренко один из красивейших сильнейших дуэтов в кино и на сцене. Хотелось бы ещё увидеть их совместные работы. Актёры второго плана почти все звёздные мастера, создающие удивительный сплав характеров и эмоций. Молодые актёры с танцами тоже прекрасны, атмосфера Парижа 30-х годов воссоздана полностью. Жаль этого спектакля нет больше нигде в афишах. Не хотелось бы думать что мы его больше не увидим. "
positive,"Мне понравилось.Музыка с нагнетающим эффектом подобрана просто идеально.Также хороша сценография и игра актеров.Конечно же больше всего мне понравился Раскольником,но и Разумихин со Свидригайловым также хорошо справились с ролью.Дуня,сестра Раскольникова,как и Соня Мармеладова,как то не впечатлили.Спектакль рекомендую думающим людям,потому как он не для забавы.Жаль одно:Как же мало зрители дарят цветов простым театральным актерам.Не медийным,и не раскрученным.А они этого действительно заслуживают."
positive,"Веселенько! Не ожидала, что мне понравится. Актеры, конечно, молодцы!"
positive,"Очень понравилось! Все на высшем уровне! Музыка, актеры, самоотдача! Рекомендую"
positive," 30 марта попрощались со спектаклем «Собака на сене» Последние показы всегда вызывают массу эмоций, как у создателей и так и обычного зрителя. Спасибо всем причастным ? Во-первых, это было смешно. Неожиданно смешно. Настолько своевременно смешно, настолько точно. Во-вторых, это было красиво. Костюмы главных героев ? Благодарю, что это это не кринолины) А если и есть на них намёк, то выполнен со вкусом. Особенно приятно было видеть стильных мужчин? В-третьих, это было современно. Я рассчитывала, что иду на более классическую постановку, и была настолько приятно удивлена, что захотелось посмотреть в этом театре ещё ни один спектакль. Там же целая плеяда талантливых артистов- от Андрея Барило и Олега Кассина, исполнявших заглавные роли в «Собаке на сене», до популярного Максима Аверина, Алёны Яковлевой и легендарных Александра Ширвиндта, Веры Васильевой. "
positive,Сухоруков - гений!А пьеса - как вчера написана... Даже жутковато... Всем обязательно смотреть!!!
positive,В Дурова всегда замечательные спектакли. Но Емеля совсем молоденький артист. Неяркий. В репке одна только сказочница сразу очаровала детей
positive,"Замечательный спектакль! Прекрасная классическая постановка! Очень понравилась Зоя Кайдановская (Агафья), Алексей Дякин (Подколесин), Максим Глебов (Яичница)! Да все актеры прекрасно играли. Спектакль прошел на одном дыхании. Настроение великолепное!"
positive,Потрясающий спектакль. Пойду ещё раз и возьму детей- подростков с собой. Максим Керин- гений!
positive,"Спектакль великолепный. Не рекомендую брать билеты на 1 ряд с маленькими детьми , так как им плохо видно , выдаваемые подушки не спасают ."
positive,"Мюзикл очень понравился и мне, и дочери 10 лет. Очень добрый и мудрый, прекрасные вокальные партии, чудесный живой оркестр, прекрасно вписанный в сценарий. Мне больше всех понравился главный герой - чёрный кот, а вот дочери очаровательная, маленькая Чайка)"
positive," Не согласен с массой отзывов, в которых идут рассуждения о несовременности и т.п. хотите современности- смотрите Виктюка и ему подобных. Чурикова - великолепна! Спектакль абсолютно современен! Жаль только одного, что не видел спектакля в театре. Телеверсия нисколько не хуже. "
positive,"Спектакль меня, взрослого человека, ""вывернул на изнанку"". Так много затронуто тем над которыми необходимо задуматься! И неуважение чувств других, и пьянство, и бродяжничество, и смерть, и смысл жизни... Не стоит ходить с детьми младше 11 лет. Игра актёров - великолепна! Декорации - одни из лучших, что я видела в своей жизни! Театр идёт в ногу со временем. Возможно, для гиперактивных, либо любящих более динамичный сюжет детей, спектакль покажется ""затянутый"" - значит они ещё до него не доросли."
positive,"Приходим уже не в первый раз, всегда довольны!"
positive,"Великолепный спектакль. Ходила 2 раза. Совершенно не мешает, что всего 3 актёра на сцене. Они полностью заполняют пространство своей незаурядной игрой."
positive,"Атмосфера в зале была потрясающая, не хотелось уходить! Даже если бы Александр Анатольевич Шиирвиндт и другие актеры просто молча находились на сцене! Спектакль чудесный!"
positive,Потрясающий спектакль! Музыкальное оформление и декорации - в самую точку. До глубины души. Спасибо!
positive,"Непростой спектакль для тех, кто слаб в истории. Трудновато смотреть, но интеллектуальная работа тоже же прекрасна, не все же развлечения ради ходить."
positive," Чудесный спектакль! Конечно же , шли на Светлану Немоляеву и остались очень довольны. Обаятельная и шикарная актриса. Покорил лично меня Телятьев(Виталий Ленский!)! Сколько в актёре обаяния! В восторге от Полины Лазаревой, хороша внешне и отлично играет! Сюжет, правда, немного отходит от текста пьесы, но это не мешает. Шутки есть, но без пошлости. Сплошное удовольствие! Спасибо огромное!!! "
positive,"Спектакль музыкально и сценически сложный. Основной тревожный маршевый фон, а также периодически хор на греческом как ритмический шум и разговор толпы с богами (или богов с людьми- непонятно: то тише, то громче, на разные голоса, как голоса из плохо настроенного радио). Монохромно решенная сцена, все костюмы черно-белые, цвета есть только в костюмах Тересия и Креонта. Очень понравился момент, где в самом конце спектакля Эдип прорывает в марлевой повязке на своем лице рот, а потом начинает повязку разматывать. Ожидание ужаса, который ты можешь увидеть, и тем не менее, продолжение раскрывания его, - это и есть основное эмоциональное повествование всего спектакля. Разговор про открытия в своем прошлом, которые может сделать любой человек. Про изменение оценки прошлых поступков в связи с новыми знаниями. Кажется забавным то, что все наблюдатели за поисками Эдипа, не удивляются его открытиям, как будто они уже сделали свои открытия о себе, а ему это только предстоит, как будто он взрослеет на их глазах. И персонаж в марлевой повязке, которую потом в конце спектакля снимет Эдип, есть уже в самом начале спектакля. Так, как будто, параллельно разворачивающейся на сцене трагедии, множество других людей решают те же проблемы. Как будто путь Эдипа-это путь каждого взрослого человека. Осознание ответственности за сделанные часто по незнанию поступки. Приятие и несение вины."
positive,"Спектакль рекомендую детишкам от 3-4 до 10 лет. Понравилась актерская игра, костюмы, декорации. Не очень грим у волков). От первого акта в восторге, второй немного скомкан. Видимо, чтобы детишки не устали. Сидели на 9 ряду. Всё видно, всё слышно. Для маленьких предлагают подушки."
positive,"Прекрасный спектакль. Очень трогательный, весёлый и мечтательный. Всем как у Драгунского. Очаровательная атмосфера детства 60-х сохранена."
positive,Платонов - это я. И этим все сказано. Отозвалось до самой глубины - до сих пор не отпускает увиденное и услышанное...
positive,"Отличный спектакль! Всем советую. Не берите билеты ближе 8 ряда, за оркестром будет не видно."
positive,Отличная постановка. Добронравов и Васильева как всегда шикарны. Было несколько смешных моментов. Не хватило взаимодействия с залом
positive,"Был на Фигаро, всё отлично, Лазарев не разочаровал, но граф в исполнении АРСЕНТЬЕВА АЛЕКСАНДРА просто супер, восторг от его игры."
positive,"Красиво,ребенку очень понравилось,и нам с мужем тоже! Костюмы-шедевральны,игра актеров прекрасна,звук,свет все на высшем уровне!отлично провели выходной!Спасибо большое!"
positive,Отличный спектакль: веселый и легкий. Браво всем актерам! Лазарев приятно удивил!
positive,"Спектакль понравился меньше, чем другие спектакли этого театра. Балл сняла за недостоверное изображение культуры Востока."
positive,"Очень понравилось! Смеялись весь спектакль, все актеры играют превосходно!"
positive,"Очень душевный спектакль! Прекрасная игра Нонны и Эвклида, музыкальное сопровождение от Ивана Замотаева настоящее украшение постановки. Рекомендую к просмотру, не пожалеете потраченного времени!"
positive,"Спектакль про эмоциональные качели… каждый человек, хоть раз, но с ними точно столкнулся в жизни. Основываясь на своем жизненном опыте, предугадала финал спектакля… иной концовки быть и не могло…)  это жизнь… Интересно иногда посмотреть на созависимые отношения со стороны. Юмор зашел. Очень легкая непринужденная игра актеров… Браво! Чувствуется уважительное отношение партнеров по сцене друг к другу, никто не тянет одеяло на себя. Спасибо, получила удовольствие от игры и от вашего прочтения насущной истории отношений…  Бравииии!"
positive,"Чудесный атмосферный спектакль. Декорации, костюмы, музыкальное сопровождение и конечно игра актёров на высоте! Очень красивая японская сказка."
positive,"Люблю это произведение) Спектакль яркий, местами в прямом смысле красочный. Отличные сценические решения. Прекрасно подобран музыкальный материал"
positive,"Получила море удовольствия,актеры молодцы просто отдохнула и получила позитивный заряд,спасибо"
positive,Театр и спектакль выше всяких похвал! Просмотрели на одном дыхании. Зал переполнен! Ребенок 7 лет в восторге! Вернемся к вам еще!!!
positive,"Отличное представление на современный лад, все ярко и громко, как дети любят."
positive,"Спектакль очень понравился. Весело, задорно. Зал смеялся в голос. Несмотря на то, что я пришла на Елену Яковлеву, понравилась игра всех Публика долго не отпускала актеров со сцены"
positive,"Веселенько! Не ожидала, что мне понравится. Актеры, конечно, молодцы!"
positive,"Очень громко играла музыка, в целом, хорошо, знаковый спектакль, хотелось посмотреть"
positive,"Снимаю шляпу перед всеми актерами это такая игра, старая школа, восторг. Спектакль нужно смотреть людям начинающим стареть у которых есть требующие заботы родители. Спектакль показывает старость со всех сторон, эгоизм детей и безысходность старости. Вообщем, если вас тревожит ваша будущая старость и вы не понимаете своих старичков, вы мыслитель и самокопатель по жизни, то вам сюда. Если вы хотите повеселиться и не думать то вероятно нет."
positive,Отличный спектакль! Все понравилось! Отыграли с душой!
negative," Мне захотелось уйти ещё к середине первого акта. Я не знаю, как понравилось тем, кто не читал роман и не видел сериал, может им и открылся положительный вид, но я, будучи поклонницей произведений Михаила Булгакова(а ""Мастер и Маргарита"" является моей самой любимой книгой уже много лет), не могу представить, как можно было полностью потерять атмосферу происходящего и почти всех героев. Я понимаю, видение режиссёра с внесением индивидуальных моментов, постановка не классическая. Но это не должно было извращать взятый за основу сюжет до неузнаваемости. Где величие Воланда? Где нежность и любовь между Маргаритой и мастером? И ещё много чего оказалось скрыто под избытком карикатурных образов. Не того я ожидала от столичного коллектива. "
positive," Добрый день! Сходили в театр САТИРЫ на спектакль-комедию в двух действиях ""ТАЛАНТЫ И ПОКЛОННИКИ"" по А.Н. Островскому. 👍🏻 прекрасная постановка, игра актеров и чудесный театр ! 👏🏻 "
positive,"Спектакль на твердую 10-ку! Оценят как любители серии про Фандорина, так и зрители, не читавшие произведение. Очень хороший состав актеров, в спектакле содержатся спецэффекты, а также максимально удачные и интересные декорации. Спасибо РАМТ, немного возвращает в старые добрые времена классического театра!"
positive,Прекрасный спектакль. Реально мощный. Традиционный русский психологический театр!
positive,"Решили посмотреть по случаю. Определяющим для выбора стало участие бесподобной Марии Ароновой. Произведение Островского, считающееся одним из его лучших, знакомо только в кратком содержании и надежд на искрометный юмор со сцены и беспрерывные восторженные эмоции в зале не дарило. Тем более когда привыкаешь к нынешней стендап эпохе. Однако постановка захватила с первых минут. Благодаря классному актерскому составу , режиссерскому взгляду на произведение спектакль получился современным, пусть и с допущением шуток на грани (но это в плюс, добавляло позитивных эмоций, а скуки и так хватает). Только наряды актеров и некоторые диалоги героев говорили о том, что на сцене события 19 века. Конечно, особое внимание всех зрителей приковывала игра Ароновой, своей энергетикой эта актриса покоряет. Но и другие актеры выкладывались на все 100 и были органичны в своих ролях. В итоге - только положительные зрительские эмоции. Рекомендуем."
positive,Потрясающий Олег Меньшиков и потрясающий оркестр! Полтора часа на одном дыхании! Браво!
positive,"Замечательный спектакль. Отличный актерский ансамбль. Я был удивлен, когда узнал, что Вере Васильевой 94 года, я думал что ей гораздо меньше. На каждый выход ее героини был новый наряд. Это где-то 10 переодеваний (могу ошибиться). Финал первого акта заинтриговал и по этому как никогда ждал второго акта, что бы увидеть чем все закончится. Порадовали фото актеров в фае театра, веселые ироничные портреты. Во общем спасибо всем работающим в этом спектакле. Отдельная благодарность Вере Васильевой и с прошедшим днем рожденья. Всего вам самого доброго!"
positive,"Великолепная постановка! Но место для проведения, МХТ им. Чехова, очень неудачное. Основная часть зрительских мест расположена так, что спины сидящих впереди людей закрывают сцену."
positive,"Спасибо огромное Евгению Валерьевичу! Весь спектакль на одном дыхании. Море позитива, заряд отличного настроения! Вживую видеть и слышать его монологи это особое удовольствие"
positive,"очень понравился спектакль. Сидела в партере, 8 ряд. Оркестр совсем не мешает. Наоборот, интересно наблюдать за оркестром."
positive,"Спектакль очень понравился. Весело и интересно! Великолепная игра актёров. Пошлые шутки, нецензурные слова, ругательства - тем, кто не приемлет слышать всё это со сцены, лучше и не ходить вовсе."
positive,Очень понравился! Искренне и с огромной самоотдачей! Без пошлости и заискиваний.
positive,Превосходная игра актеров!! Искренне и от всей души хохотал)) Очень понравилось!
positive,"Сложно подобрать слова: тема сложная, играют актёры отлично. Спектакль заставляет думать. Обязательно надо показывать такие спектакли подросткам, обсуждать с ними и историю, и настоящее, и будущее."
positive,Потрясающий спектакль! Ходили с рентгеном 8 лет и бабушкой. В восторге все!
positive,"Отличные голоса всего состава актеров. Немного затянута сцена с пьянством в тюрьме, немногого отошли от оригинала и сделали на современный лад, но в целом оперетта отличная."
positive,"""Саломея"" в постановке Романа Виктюка - это зеркало и лакмусовая бумажка для зрителя. Если внутри человека пошлость и нездоровое восприятие к окружающему миру, то и в спектакле он увидит то же самое. Если внутри - чувственность и способность любить, то именно это он и увидит, причем не глазами, а сердцем и душой. Как говорит исполнитель главной роли Дмитрий Бозин: ""Мы лишь открываем портал в другие миры, а задача зрителя самому попасть в этот портал"". Зритель должен быть подготовлен и открыт к иному восприятию. Это не классика, это постмодернизм, но именно в этом и будет развитие личности. Я ходил несколько раз на Саломею : девушке понравилось очень, а вот друзья (муж и жена) не оценили, потому что оказались не готовы к открытости и чувственности. Но энергия и красочная сила спектакля завораживает и магнетизирует. "
positive,"Случилось так, что я попал на последний спектакль ""Примадонны"", в финале было сказано, что 15 лет они играли его. Спасибо вам, - прекрасные, лучшие! Женский состав - бесподобно! А звезды они - гениальные актёры - на то они звезды! Но, клеймо ""в хорошем смысле слова"" КВН и Космоса, оно останется. Смело, весело, молодцы! Я рад что посетил этот спектакль! Спасибо вам!"
positive,"Очень жизненная история. Полагаю, многие из зала узнали в героях себя… такова жизнь. Много юмора, юмор добрый."
positive,"Спектакль о сложных психологических отношениях в большой семье. Игра актером на достойном уровне, особенно сильна Евгения Симонова.Спектакль и смешной и грустный, а личная трагедия каждого персонажа чем-то созвучна любому человеку.Держит внимание зрителя все три с половиной часа."
positive,"Легкий, забавный спектакль. Комедия. Юмор простоват конечно, но великолепная игра актеров вытянула все минусы спектакля."
positive,Очень понравился! Искренне и с огромной самоотдачей! Без пошлости и заискиваний.
positive,"Невероятный спектакль! Эмоции от безудержного смеха до слёз горечи. 3 часа пролетели как 30 минут, столько переживаний давно не испытывала. Великолепная игра актеров. Это лучшее из того, что видела за последний год точно. Моя благодарность и восхищение за прожитые эмоции."
positive, Спектакль отличный.Игра актеров замечательная.Настроение от спектакля позитивное.Молодцы!!! 
positive,"Артем Волобуев в течение почти двух часов один на сцене в очень непростой, постепенно накаляющей атмосферу истории одиночества, страсти, одержимости, злодейства и безумия. Актер, которого я видела в роли конферансье в великолепном спектакле 19:14 А.Молочникова и в роли Винни-Пуха в чудесных Винни-пуховских чтениях, и здесь великолепен. Понимаю, почему К.Хабенский передал эту роль именно Артему Волобуеву. Советую посмотреть."
positive,Очень понравился! Искренне и с огромной самоотдачей! Без пошлости и заискиваний.
negative," Бездарная пошлость, избитые темы, сюжета нет, а зал хохочет. Делайте выводы. "
positive,"Посмотрела ещё один спектакль с участием Светланы Немоляевой!!! «Таланты и поклонники». Захотелось почитать Островского. И читала мало чего (больше смотрела), и ввиду актуальности. Спектакль классический, актеры великолепны, причём все, не буду даже отдельно ни на ком останавливаться. Браво!"
positive,После спектакля начинаешь понимать фразу - Вся печаль еврейского народа. Мастера и очень хорошие артисты. Очень советую сходить.
positive,Замечательный спектакль. Зрелищно. И массовки и танцы и актёры выполняют свою работу. Что даже зритель входит в историю это спектакля
positive,"Прекрасный, добрый, веселый спектакль, получили массу положительных эмоций, Владимир Куклачёв - душа спектакля, контакт с залом создает с первых минут, кошки очаровательные, интересная экскурсия до спектакля плюс мелочи, казалось бы незначительные, например - дети не успевают доесть мороженное, а в зал с мороженным нельзя, но в буфете выдают пакетик, в который мороженное можно положить, и маркер - надписать, кладут в морозильник и в антракте дети с удовольствием доедают свое мороженное. Как много это говорит об отношении к маленьким зрителям!"
positive,"В прошлый понедельник мне повезло побывать на роскошном танцевальном шоу-балете от Русского Национального Балета ""Кострома"".Это был масштабный спектакль, в котором посредством народного танца зрителю повествовались значимые этапы развития истории России. Это и времена, когда на Руси было распространено язычество, вслед за которым последовало принятие христианства, также были охвачены периоды ""НЭПА"" и ""Оттепели"" и наши дни.Наблюдая и восхищаясь потрясающими номерами артистов, я ещё раз убедилась в том, какая удивительная и многонациональная наша страна, с богатой историей и культурой.На сцене были представлены яркие номера народов Кавказа, Татарстана, Еврейского АО, Сибири, Бурятии, а также жителей Крайнего Севера и центральной России. В каждом движении и пластике артистов наблюдались профессионализм и сплоченность.От плавных и изящных перемещений девиц в кокошниках невозможно было оторвать взгляд, а энергичные номера казаков, кавказцев и богатырей с элементами акробатики и гимнастики, отображали всю силу и мощь русского духа. Дерзкий и свободный танец стиляг, милое и романтичное исполнение балерины и космонавта, ""Калинка"", ""Русская зима"" , ""Легенда"" о жителях Крайнего Севера, еврейский танец и все это про нашу многоликую Матушку Россию.А какие были потрясающие костюмы, созданные по эскизам Елены Пиатровской, хотелось подробно рассмотреть каждую деталь, которая подчеркивала индивидуальность и народный стиль танца.Красивые декорации и видео проекции, световое и музыкальное оформление прекрасно дополняли танцевальные номера, помогая зрителям погрузиться в ту или иную эпоху и почувствовать настроение артистов."
positive,"Это лучший мюзикл по моему мнению!Ходила даже два раза!Великолепная постановка!Сюжет, игра актеров,музыка, постановки-все супер,брависсимо!Советую сходить!"
positive,"Были с сыном (6 лет) на спектакле ""Мойдодыр"" 12 августа 2023 года. И мне, и сыну понравилось. Ребёнок хохотал, читал стихи вместе с актёрами. Актёры отработали на 100%, как по мне. Было весело. Мы отлично провели время. Антракт в часовом спектакле наверное лишний, но в зале были совсем маленькие дети, и им тяжело просидеть час без движения. Очень удобные кресла, которые трансформируются в сиденье для детей: подставка для ног и сиденье выше делается. До начала спектакля можно поучавствовать в мастер-классе по росписи керамических фигурок. От размера фигурки разная стоимость. Сыну тоже очень понравилось. Были дети, которым было скучно. Я лично слышала как дети жаловались родителям. Так что это зависит от темперамента и характера ребёнка, наверное. Местами затянуто конечно, но делать спектакль на 20 минут тоже нет смысла."
positive,Была на спектакле с сыном 9лет. В полном восторге и восхищении!
positive," Книга великолепна, постановка очень средняя, не понравились декорации, кто не читал, вряд ли сразу поймет, что хотел сказать автор. Из плюсов - игра актера, исполняющего роль Чарли, читая книгу, именно таким его представляла, и с ролью справился великолепно. "
positive,Это наше первое посещение Малого театра на Ордынке. Шикарнейший спектакль! Посмеялись от души!
positive,"Хорошая игра актеров, очень понравилось музыкальное сопровождение. Хочу ещё раз посмотреть."
positive,"Очень понравилось. Эффектно, красиво, душевно, креативно. Рекомендую"
positive,"Очень понравилось! Смеялись весь спектакль, все актеры играют превосходно!"
positive,"Впервые смотрела мюзикл в формате 3д. Была под очень большим впечатлением. Очень красиво, необычно. Декорации супер, актерская игра на 5 балов. Советую всем сходить на этот мюзикл."
positive,"Десять из пяти. Актеры супер, игра выше всяких похвал! Прекрасно провели время."
positive,"Все нравится - музыкальные оформление, костюмы и игра актеров, декорации. Внуку 6 лет, мы все получили огромное удовольствие."
positive,"Первое отделение немного затянуто, но терпеливые зрители будут вознаграждены))) Печорин и Грушницкий яркие, живые))), второе отделение более выразительно и динамично. Интересное решение декорации, погружает в место действия сюжета. Нам понравилось."
positive,"Получила море удовольствия,актеры молодцы просто отдохнула и получила позитивный заряд,спасибо"
negative," Благодарю за старания актеров, временами чрезмерное. Неужели зритель не способен понять более тонкую игру, что необходимо настолько выпячивать героев, смысл и практически постоянно - вымя!? Это неприятно, пошло и вульгарно. Бульварное жорево, простите за грубость. "
positive,Недавно ходила на этот спектакль 2й раз(1раз смотрела лет 8-10 назад и получила такое же огромное удовольствие хотя очень опасалась что Покровской уже много лет но играет она прекрасно
positive,"Отличный спектакль, взяли последние два билета сбоку и нисколько не пожалели. Дочка 5 лет смотрела с упоением. Динамичный, интересный, красивый"
positive,"Это было впечатляюще. Зрелищно, не обычно. Напряжение с первых секунд не покидало до последних. Стоит хотя бы раз увидеть."
positive,"Тот самый случай, когда в нирване от NIRVANA !!!!!) Это гранж, сметающий всё на своём пути !!!!!!!!!! Это музыка, в клочья рвущая воздух !!!!!!!!!!! Это- КУРТ КОБЕЙН !!!!!!!!!!! КЛАССНЫЙ ПАРЕНЬ и ВЕЧНАЯ ЛЕГЕНДА !!!!!!!!!! Чувства не передать словами !!!!!!!!!!!!! НЕРЕАЛЬНО КРУТОЙ,АТМОСФЕРНЫЙ ТЕАТР И СПЕКТАКЛЬ ВЫШЕ ВСЯКИХ ПОХВАЛ !!!!! Рекомендую всем ценителям !!!!!!!!!!!!!!!! ВЫКЛЮЧАЙ ТЕЛЕВИЗОР- ИДИ В ТЕАТР !!!!!!!! :)"
positive,"Хороший спектакль,Есть над чем задуматься,посмеяться, поплакать."
positive,Ходил с сыном 6 лет. Нам понравилось очень!
positive,"Великолепный мьюзикл, с этническиии мотивами , пропитанный юмором и мистикой."
positive,"Смотрели с внучкой 4 лет, испугалась Синьора-помидора (спряталась за креслом), потом Чиполлино называла Луковичкой. Видимо, рановато, но спектакль хороший."
positive,"Давно хотела посмотреть этот спектакль, чтобы в главной роли был именно Эвклид Кюрдзидис. Очень интересный сюжет, великолепные находки, чтобы показать время, в котором оказываются главные герои (популярные в то время песни, одежда, интерьер...). Действие охватывает примерно 25-30 лет, но зрители понимают, в каком именно времени встречаются герои (застой, перестройка, развал СССР, дефолт, теракты в Москве, атака на Башни-Близнецы и Пентагон в Нью-Йорке...). Эвклид Кюрдзидис и Нонна Гришаева - просто супер! Великолепное перевоплощение! Отдельное спасибо ансамблю. Была на спектакле с подругой. Мы и посмеялись от души, и посочувствовали героям, и даже поплакали... Еще хочу отметить оригинальное название спектакля - ""На высоких каблуках"" - точно отражает атмосферу редких встреч двух любящих людей, разделенных по жизни городами и обстоятельствами. Спасибо огромное всем участникам спектакля - артистам и работникам сцены!!!"
positive,"Спекталь увлекательный, мой пятилетний непоседа нормально и заинтересованно смотрел. Единственное неудобство размещение, оочень мало места, ноги затекли)Детям норм"
positive,Отличный легкий спекталь. Известные актеры. Сыгран изумительно.
negative,"Я никогда не думал, что именно в МХТ им. Чехова(!) встречусь с этим, но это случилось. Это худший спектакль, который я видел в своей жизни. И, поверьте, это не преувеличение. Честно скажу, с финала я ушел, не было сил досматривать эту пошлость. Это вообще не театр, это какой-то бессмысленный балаган. Было безумно жаль актеров. К ним никаких претензий нет. Авторов ""спектакля"" хочется искренне попросить больше ничего подобного не делать. Теперь по существу. Сценарный план - это какой-то позор! Достаточно будет сказать, что первая и вторая мировые войны вместе с революциями и гражданской войной занимают отчего-то в два раза меньше сценического времени, чем абсолютно бессмысленная, просто идиотская( простите) сцена телепередачи ""А ну-ка, девушки!"", большую часть времени вообще непонятно, что происходит на сцене. Нет никакой связующей нити повествования, ни героев, ни хоть сколь-нибудь связного сюжета. О том, что речь шла, к примеру, о Маяковском, мы узнаем только в самом конце 10-минутной сцены по звучащим (внезапно!) стихам ""а вы ноктюрн сыграть смогли бы..."", ни к селу ни к городу вперемежку звучат то стихи Бродского, то песня Визбора, то группа Сплин. Ну, видимо, авторы для совсем тупых хотели обозначить смену эпох таким образом. Но нет, мы не тупые! Спасибо, конечно... Далее о режиссуре. Спектакль начинается в стиле пластического театра с элементами балета. Ок, хорошо. Но почему вы заставляете актеров корчить такие чудовищные рожи?! Причем это ничем не оправдано. Вообще. Что это было?! Это что, не МХТ, это ярмарочный уличный театр на гастролях в Нижнем Новгороде где-нибудь в середине 17 века?! Ну, хорошо, допустим. Все сцены никак и ничем не разрешаются, совершенно не связаны друг с другом. Но ладно! Не надо смысла, пусть будет так. Допустим это арт-хаус... Но нет! Во втором акте мы вдруг узнаем, что актерам, оказывается, можно говорить, и они начинают говорить много, даже слишком много, но смысла повествованию это не добавляет, скорее наоборот, все внезапно, без всякого предупреждения, превращается в какой-то дичайший фарс. 20 минут нас мучают уже упомянутой бессмысленной сценой с девушками - работницами железной дороги, участвующими в некоем конкурсе, видимо, танцевальном. Друзья, где вы набрались этого пэтэушного юмора?! Зачем вы это делаете с нами? В общем, я ушел... Долго еще гулял по фойе, рассматривал фотографии великих актеров МХАТа, и думал, как хорошо, что никто их них не дожил до этого позора!"
negative,"Шла на Хаматову и Оболдину, но не получила того впечатления, на которое рассчитывала. Чего-то очень важного в этом спектакле не хватает... Нет искры, не цепляет...Запомнилась, пожалуй, только очень трогательная игра актера, сыгравшего пса одной из героинь. "
negative,"Не выдержал, ушёл в антракте. Это просто издевательство над зрителем и искусством. Райкин позорит свою фамилию. Ни в коем случае не идите. Спектакль живет потомучто приходят поклонники Трибунцева. А Райкину хотел сказать откройте глаза уже, хватить дермовщины. Вылибо во время спектакля будьте режиссёром и следите за тем что на сцене, либо станьте актером и дайте другому режиссёру суделать эту работу. На двух стульях не усидишь."
